maje.com;Fashion;;;;;;;
bitdefender.com;IT & Office;;;;;;;
rebuy.de;Electronics;IT & Office;Books & Media;;;;;
ubup.com;Fashion;;;;;;;
def-shop.com;Fashion;Sport & Recreation;;;;;;
hotel.de;Holiday;;;;;;;
otto-office.com;IT & Office;;;;;;;
volksversand.de;Health;;;;;;;
xxxlutz.de;Home, Garden & Pets;;;;;;;
clevertronic.de;Electronics;IT & Office;;;;;;
lieferando.de;Food;;;;;;;
avalonmagicplants.com;Health;Food;Holiday;Other;Sport & Recreation;;;
cyberghostvpn.com;IT & Office;;;;;;;
esprit.de;Fashion;;;;;;;
schrankwerk.de;Home, Garden & Pets;;;;;;;
fitmart.de;Sport & Recreation;Health;;;;;;
sonnenklar.tv;Holiday;;;;;;;
schulranzenwelt.de;Fashion;Holiday;;;;;;
congstar.de;IT & Office;Electronics;;;;;;
ludwig-therese.de;Fashion;;;;;;;
freenetmobile.de;IT & Office;;;;;;;
swkbank.de;Other;;;;;;;
deinhandy.de;Electronics;IT & Office;;;;;;
g2a.com;Books & Media;Electronics;;;;;;
home24.de;Home, Garden & Pets;;;;;;;
fti.de;Holiday;;;;;;;
eon.de;Other;;;;;;;
exporo.de;Other;;;;;;;
reichelt.de;Electronics;IT & Office;;;;;;
lufthansa.com;Holiday;;;;;;;
gearbest.com;Department Stores;;;;;;;
zooplus.de;Home, Garden & Pets;;;;;;;
scandinaviandesigncenter.de;Home, Garden & Pets;;;;;;;
poetschke.de;Home, Garden & Pets;;;;;;;
pearl.de;Department Stores;Party;Gifts & Gadgets;Home, Garden & Pets;Electronics;Hobby;Fashion;
o2-freikarte.de;IT & Office;Electronics;;;;;;
gefro.de;Food;;;;;;;
mindfactory.de;Electronics;IT & Office;;;;;;
floraprima.de;Home, Garden & Pets;Gifts & Gadgets;;;;;;
kraeuterhaus.de;Health;;;;;;;
bodendirect.de;Fashion;;;;;;;
only.com;Fashion;;;;;;;
planet-cards.de;Gifts & Gadgets;;;;;;;
apotal.de;Health;;;;;;;
kinguin.net;Books & Media;Electronics;;;;;;
